name,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.LintScore,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.repository.CommitsUntilConfigAdded,ch.uzh.ciclassifier.features.repository.ConfigChangeFrequency,ch.uzh.ciclassifier.features.repository.DaysUntilConfigAdded,ch.uzh.ciclassifier.features.repository.NumberOfConfigurationFileChanges,ch.uzh.ciclassifier.features.repository.NumberOfContributors,ch.uzh.ciclassifier.features.travisci.BuildTimeAverage,ch.uzh.ciclassifier.features.travisci.BuildSuccessRatio,ch.uzh.ciclassifier.features.travisci.BuildTimeLatestAverage,ch.uzh.ciclassifier.features.travisci.ManualInteractionRatio,ch.uzh.ciclassifier.features.travisci.PullRequestRatio,ch.uzh.ciclassifier.features.travisci.TimeToFixAverage,ch.uzh.ciclassifier.features.travisci.TimeToFixLatestAverage
edx_edx-app-android,2,2,19,85,1,1,1,22,18,1,1,1,0.016502697,0,52,56,1371.9311688311689,0.7324586423274386,1374.16,0.0,0.8498381877022654,26128.56692913386,-177673.15789473685
TrinityCore_TrinityCore,0,1,0,63,1,0,1,11,23,0,0,23813,0.0017560569,2117,59,937,1544.8725160501376,0.7886404439366738,1185.36,0.0,0.4906135531135531,30622.489919354837,53450.88888888889
enthought_mayavi,5,0,1,59,3,0,1,2,15,0,1,1698,0.024590164,2435,75,97,1495.9272237196765,0.659375,834.8,0.0,0.613013698630137,1080464.652173913,1067720.6666666667
fliglio_borg,0,1,1,20,5,0,1,12,3,0,0,3,0.023809524,0,3,4,476.10714285714283,0.75,485.12,0.0,0.5666666666666667,1528.5,0.0
EQEmu_Server,0,0,0,20,1,0,1,1,3,0,0,1349,0.0010372249,540,9,112,832.0824029771399,0.8709912536443148,1075.6,0.0,0.35649690623512614,30194.150943396227,9168.1
iDigBio_Biospex,0,1,0,24,1,0,1,13,9,0,0,3601,8.2627556E-4,1347,4,5,75.33333333333333,0.625,75.33333333333333,0.0,0.0,3162.0,0.0
denger_sendcloud4j,0,0,0,9,3,0,1,2,0,0,0,5,0.06896552,13,4,5,255.0,0.8,255.0,0.0,0.25,0.0,0.0
nZEDb_nZEDb,0,1,13,102,2,1,1,11,41,1,0,14402,9.187799E-4,1245,15,94,301.2903225806452,0.6519756838905775,323.64,0.0,0.3333333333333333,619654.0,0.0
ciudadanointeligente_write-it,1,1,4,28,2,0,1,12,6,0,0,66,0.0090556275,27,21,27,777.1612903225806,0.7279596977329975,801.16,0.0,0.7567567567567568,534.3333333333334,0.0
browserslist_browserslist-useragent,0,0,0,4,2,0,1,2,0,0,0,4,0.02631579,14,2,11,88.32203389830508,0.6759259259259259,92.6,0.034482758620689655,0.3448275862068966,2677700.8,0.0
docker_docker-py,1,2,0,21,5,0,1,23,2,0,0,188,0.0035403927,154,11,378,317.42843373493974,0.8160575194727382,214.64,0.0,0.7979876160990712,49472.67857142857,83116.03703703704
mozilla_common-voice,2,1,2,54,1,0,1,11,15,0,0,62,0.0023882182,10,36,791,701.3276315789474,0.9478588066654722,691.68,0.0,0.05357142857142857,6742.724137931034,735.0
tinygettext_tinygettext,1,0,23,48,4,0,1,3,7,0,0,231,0.010238908,2330,3,21,158.71428571428572,0.21428571428571427,158.71428571428572,0.0,0.3,8182288.0,0.0
clouway_clouwaypush,0,0,0,3,1,0,1,2,0,0,0,56,0.014084507,958,1,9,58.51219512195122,0.8661971830985915,57.12,0.0,0.9577464788732394,49883.6,0.0
spree_spree_auth_devise,1,0,0,44,8,0,1,0,7,0,0,28,0.038084876,1,35,142,3957.828330206379,0.7932024892292963,2932.68,0.0,0.18877551020408162,288787.71428571426,57325.77777777778
siddharthkp_bundlesize,0,0,0,9,1,0,1,2,0,0,1,6,0.030023094,0,13,53,62.66101694915254,0.8362745098039216,52.68,0.0,0.6487804878048781,208219.80952380953,0.0
